1802,473,_edit_last,1
1803,473,_edit_lock,1360197084:1
1805,473,package_description,This package is one iPad and one PS Vita
1806,473,_package_description,field_19
1807,473,package_cost,500
1808,473,_package_cost,field_18
1809,473,image,
1810,473,_image,field_17
1813,475,_edit_last,1
1814,475,_edit_lock,1436211305:1
1815,475,package_description,"<h4>The full iPad experience</h4>
Everything you love about iPad — the beautiful screen, fast and fluid performance, FaceTime and iSight cameras, thousands of amazing apps, 10-hour battery life<sup>2</sup> — is everything you’ll love about iPad mini, too. And you can hold it in one hand."
1816,475,_package_description,field_19
1817,475,package_cost,500
1818,475,_package_cost,field_18
1819,475,image,
1820,475,_image,field_17
67765,2940,_edit_last,1
67766,2940,_edit_lock,1436211289:1
67767,2940,package_description,
67768,2940,_package_description,field_19
67769,2940,package_cost,220
67770,2940,_package_cost,field_18
67771,2940,image,
67772,2940,_image,field_17
124907,4979,_edit_last,1
124908,4979,_edit_lock,1400773545:1
124909,4979,package_description,
124910,4979,_package_description,field_19
124911,4979,package_cost,600
124912,4979,_package_cost,field_18
124913,4979,image,
124914,4979,_image,field_17
147957,6054,_edit_last,1
147958,6054,_edit_lock,1405652531:1
147959,6054,package_description,
147960,6054,_package_description,field_19
147961,6054,package_cost,150
147962,6054,_package_cost,field_18
147963,6054,image,
147964,6054,_image,field_17
147965,6054,_wp_old_slug,non-ipad-package
248524,9733,_edit_last,1
248525,9733,_edit_lock,1429751453:1
248526,9733,package_description,
248527,9733,_package_description,field_19
248528,9733,package_cost,900
248529,9733,_package_cost,field_18
248530,9733,image,
248531,9733,_image,field_17
252782,9860,_edit_last,1
252783,9860,_edit_lock,1436211282:1
252784,9860,package_description,
252785,9860,_package_description,field_19
252786,9860,package_cost,1000000
252787,9860,_package_cost,field_18
252788,9860,image,
252789,9860,_image,field_17
