10356,1,08/06/2015 02:50:12,00/00/0000 00:00:00,,Auto Draft,,auto-draft,open,open,,,,,08/06/2015 02:50:12,00/00/0000 00:00:00,,0,http://gamerosity.com/?post_type=product&p=10356,0,product,,0
838,1,02/08/2013 22:53:47,02/09/2013 06:53:47,"<div id=""excerpt_path_row"" tabindex=""-1"" role=""group"">

Composed of 550# Paracord these straps are tough, strong, and bright, like the kids we support!

*This item is 100% CONTRIBUTION -- $10 to campaign goal!*

<strong>Colors</strong> - Navy/Red/Yellow

</div>",Survivor Strap,"Composed of 550# Paracord these straps are tough, strong, and bright, like the kids we support!

Contribution to Little Hero: $8 each!

<strong>Colors</strong> - Navy/Red/Yellow",draft,open,closed,,survivor-strap,,,01/27/2015 15:39:06,01/27/2015 23:39:06,,0,http://gamerosity.my/?post_type=product&#038;p=838,26,product,,0
1542,1,06/12/2013 21:32:10,06/13/2013 04:32:10,"6-panel youth two tone pro style twill, 3 1/4"" structured crown, plastic tab adjust. 

Color - Navy/Red

One size",Youth Snapback Hat,,draft,open,closed,,youth-snapback-hat,,,08/25/2014 17:20:21,08/26/2014 00:20:21,,0,http://www.gamerosity.com/?post_type=product&#038;p=1542,25,product,,0
1704,1,06/29/2013 23:15:31,06/29/2013 23:15:31,"Now the little ones can say #GameON to cancer by rocking one of these sweet tees in YOUTH sizes!

Tees are printed on an indispensable t-shirt in our classic silhouette.

Navy Blue 5.4-ounce, 100% cotton Port & Company Tee

Campaign Contribution - $10",Hero Youth Tee,"Now the little ones can say #GameON to cancer by rocking one of these sweet tees in YOUTH sizes!

Tees are printed on an indispensable t-shirt in our classic silhouette.

Navy Blue 5.4-ounce, 100% cotton Port & Company Tee

Campaign Contribution - $10",draft,open,closed,,youth-game-on-tees,,,05/16/2014 19:44:06,05/16/2014 19:44:06,,0,http://www.gamerosity.com/?post_type=product&#038;p=1704,23,product,,0
1666,1,06/29/2013 23:29:15,06/30/2013 06:29:15,"An instant summer classic for your #GameON collection!  A Junior cut tri-blend with keyhole detail on the back gives our airy raglan a new twist on a classic.

2.5-ounce, 75/25 poly/ring spun cotton

Relaxed fit

Microburn fabric infuses each garment with unique character. Please allow for slight color variations.

Campaign Contribution: $11.25

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC.png"" width=""434"" height=""104"" class=""alignleft"" />",Hero Junior MicroBurn Long Sleeve Raglan,"An instant summer classic for your #GameON collection!  A keyhole detail on the back gives our airy raglan a new twist on a classic.

2.5-ounce, 75/25 poly/ring spun cotton

Relaxed fit

Microburn fabric infuses each garment with unique character. Please allow for slight color variations.

Campaign Contribution: $11.25
",draft,open,closed,,ladies-game-on-microburn-long-sleeve-raglan,,,09/12/2014 19:25:12,09/13/2014 02:25:12,,0,http://www.gamerosity.com/?post_type=product&#038;p=1666,9,product,,0
1647,1,06/29/2013 23:36:52,06/30/2013 06:36:52,"Show off your #GameON spirit with this mens tee!

This Navy 4.3 oz 100% Cotton District Concert tee was made for showing off, and that's just what you will do!

Campaign Contribution: $12

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC.png"" width=""434"" height=""104"" class=""alignleft"" />",Hero Unisex Basic,"Show off your #GameON spirit with this mens tee!

This Navy 4.3 oz 100% Cotton District Concert tee was made for showing off, and that&#039;s just what you will do!

Campaign Contribution: $13.50",draft,open,closed,,hero-uni-crew,,,09/12/2014 19:26:26,09/13/2014 02:26:26,,0,http://www.gamerosity.com/?post_type=product&#038;p=1647,6,product,,0
1683,1,06/30/2013 00:22:22,06/30/2013 07:22:22,"The beach, bonfires, friends, and advocating for childhood cancer, oh yeah, #GameON!  

This ringer runs rings around standard tanks.

3.8-ounce, 100% ring spun combed cotton

Campaign Contribution - $10

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC.png"" width=""434"" height=""104"" class=""alignleft"" />",Game On Unisex Tank,"The beach, bonfires, friends, and advocating for childhood cancer, oh yeah, #GameON!  

This ringer runs rings around standard tanks.

3.8-ounce, 100% ring spun combed cotton

Campaign Contribution - $10",draft,open,closed,,game-on-mens-tank,,,09/12/2014 19:26:12,09/13/2014 02:26:12,,0,http://www.gamerosity.com/?post_type=product&#038;p=1683,8,product,,0
2017,1,08/01/2013 08:31:33,08/01/2013 15:31:33,"We've combined fashion with function in this super soft,stylish Junior scoop neck tee.  The fit is perfect with 3/4 length sleeves!  Design is our signature ""Hey Cancer, Game On"" messaging in white and gold ink for Childhood Cancer.  Get Yours Today!

Team this raglan with denim for instant cool.
<ul>
	<li>3.5-ounce, 60/40 ring spun combed cotton/modal</li>
	<li>Junior cut</li>
	<li>Open neckline</li>
</ul>

Campaign Contribution - $12

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC-V.png"" width=""434"" height=""104"" class=""alignleft"" />",ScripTee Scoop Neck 3/4 Sleeve,"We&#039;ve combined fashion with function in this super soft,stylish scoop neck tee.  The fit is a little more flowy with 3/4 length sleeves!  Design is our signature ""Hey Cancer, Game On"" messaging in white and gold ink for Childhood Cancer.  Get Yours Today!",draft,open,closed,,scriptee-scoop-neck-34-sleeve,,,09/06/2014 10:59:45,09/06/2014 17:59:45,,0,http://www.gamerosity.com/?post_type=product&#038;p=2017,4,product,,0
2030,1,08/01/2013 08:49:48,08/01/2013 08:49:48,"It's time to layer up!  Get your Gamerosity Hoodie for two reasons:  1. It's super soft with an incredible fit.  2. Your purchase contributes to a Hero's Campaign!  Navy blue hoodie with white and red printed logo.

This endlessly versatile hoodie is a layering essential.
<ul>
	<li>8.3-ounce, 60/40 cotton/poly fleece</li>
</ul>

Campaign Contribution - $12

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-DOS-L.png"" width=""434"" height=""104"" class=""alignleft"" />",Hero Juniors Hoodie,"It&#039;s time to layer up!  Get your Gamerosity Hoodie for two reasons:  1. It&#039;s super soft with an incredible fit.  2. Your purchase contributes to a Hero&#039;s Campaign!  Navy blue hoodie with white and red printed logo.

This endlessly versatile hoodie is a layering essential.
<ul>
	<li>8.3-ounce, 60/40 cotton/poly fleece</li>
</ul>

Campaign Contribution - $10

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC.png"" width=""434"" height=""104"" class=""alignleft"" />",draft,open,closed,,hero-juniors-hoodie,,,05/16/2014 19:49:20,05/16/2014 19:49:20,,0,http://www.gamerosity.com/?post_type=product&#038;p=2030,3,product,,0
2042,1,08/01/2013 09:01:53,08/01/2013 16:01:53,"It's time to layer up!  Get your Gamerosity Hoodie for two reasons:  1. It's super soft with an incredible fit.  2. Your purchase contributes to a Hero's Campaign!  Navy blue hoodie with white and red printed logo.

This endlessly versatile hoodie is a layering essential.
<ul>
	<li>8.3-ounce, 60/40 cotton/poly fleece</li>
</ul>

Campaign Contribution - $12

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC.png"" width=""434"" height=""104"" class=""alignleft"" />",Hero Unisex Hoodie,"It&#039;s time to layer up!  Get your Gamerosity Hoodie for two reasons:  1. It&#039;s super soft with an incredible fit.  2. Your purchase contributes to a Hero&#039;s Campaign!  Navy blue hoodie with white and red printed logo.

This endlessly versatile hoodie is a layering essential.
<ul>
	<li>8.3-ounce, 60/40 cotton/poly fleece</li>
</ul>

Campaign Contribution - $10

<img src=""http://gamerosity.s3.amazonaws.com/wp-content/uploads/2013/02/Sizing-UTAC.png"" width=""434"" height=""104"" class=""alignleft"" />",draft,open,closed,,hero-unisex-hoodie,,,10/17/2014 14:59:41,10/17/2014 21:59:41,,0,http://www.gamerosity.com/?post_type=product&#038;p=2042,2,product,,0
