1,Uncategorized,uncategorized,0
2,Blogroll,blogroll,0
3,Header Menu,header-menu,0
4,Support Menu,support-menu,0
5,Footer Menu,footer-menu,0
6,News,news,0
9,simple,simple,0
10,grouped,grouped,0
11,variable,variable,0
12,external,external,0
13,pending,pending,0
14,failed,failed,0
15,on-hold,on-hold,0
16,processing,processing,0
17,completed,completed,0
18,refunded,refunded,0
19,cancelled,cancelled,0
20,S,small,0
21,M,medium,0
22,L,large,0
23,XL,x-large,0
25,Unisex,boys,0
26,Ladies,girls,0
27,Blog,blog,0
28,5,5,0
29,6,6,0
30,7,7,0
31,8,8,0
32,XS,xs,0
33,XXS,xxs,0
34,XXL,xxl,0
35,XXXL,xxxl,0
36,XXXXL,xxxxl,0
37,1,1,0
38,3,3,0
39,10,10,0
40,Hats,hats,0
41,Bracelets,bracelets,0
42,Garments,garments,0
43,straps,straps,0
44,Donate,donate,0
45,CM,cm,0
46,SA,sc,0
47,LR,ss,0
48,Dont Display On Shop Page,no-shop-display,0
49,Sweats,sweats,0
50,"Men's Styles",mens-styles,0
51,Ladies Styles,ladies-styles,0
52,Light Grey,light-grey,0
53,Charcoal,charcoal,0
54,Dark Fuchsia,dark-fuchsia,0
55,Forest Green,forest-green,0
56,Navy Dip Dye,navy-dip-dye,0
57,Sale,sale,0
58,MaxLove,maxlove,0
59,Director,director,0
60,Peachy,peachy,0
61,Sidekick,sidekick,0
62,Youth,youth,0
63,Heather Teal,heather-teal,0
64,Pink,pink,0
65,Blue,blue,0
66,Red,red,0
67,2,2,0
68,4,4,0
69,12,12,0
70,GMR Dude,gmr-dude,0
71,GMR Princess,gmr-princess,0
72,Featured,featured,0
73,"Peach's Neet Feet",peachs-neet-feet,0
74,MaxLove Project,maxlove-project,0
75,Emma Rose - A Patient Helping Patients,emma-rose-a-patient-helping-patients,0
76,Super Sammy,super-sammy,0
77,Gamerosity Operations,gamerosity-operations,0
78,Go Gold,go-gold,0
